description,category
"Almoço no restaurante Kilo Certo","Alimentação"
"Café e pão de queijo na padaria","Alimentação"
"Compras do mês no supermercado Extra","Alimentação"
"Pizza de sexta à noite","Alimentação"
"McDonald's drive-thru","Alimentação"
"Feira livre da Savassi","Alimentação"
"Delivery iFood hambúrguer","Alimentação"
"Açaí na praia","Alimentação"
"Cerveja no bar com amigos","Alimentação"
"Uber para o trabalho","Transporte"
"Passagem de ônibus mensal","Transporte"
"Gasolina para o carro","Transporte"
"Estacionamento shopping","Transporte"
"99 taxi aeroporto","Transporte"
"Pedágio BR-040","Transporte"
"Manutenção do carro","Transporte"
"Aluguel do apartamento","Moradia"
"Conta de luz - Enel","Moradia"
"Conta de água - Sabesp","Moradia"
"Condomínio do prédio","Moradia"
"Internet fibra ótica Vivo","Moradia"
"Gás de cozinha","Moradia"
"IPTU anual","Moradia"
"Seguro residencial","Moradia"
"Ingresso para o cinema Vingadores","Lazer"
"Assinatura mensal Netflix","Lazer"
"Show do Coldplay","Lazer"
"Livro 'O Hobbit' na Amazon","Lazer"
"Spotify Premium","Lazer"
"Parque de diversões com as crianças","Lazer"
"Teatro Municipal","Lazer"
"Consulta com o Dr. Mário","Saúde"
"Compra de remédio na farmácia Panvel","Saúde"
"Plano de saúde Unimed","Saúde"
"Mensalidade da academia","Saúde"
"Dentista ortodontia","Saúde"
"Exame de sangue laboratorio","Saúde"
"Fisioterapia sessão","Saúde"
"Mensalidade curso de inglês","Educação"
"Curso online de programação na Udemy","Educação"
"Compra de material escolar","Educação"
"Faculdade mensalidade","Educação"
"Livros técnicos programação","Educação"
"Ração para o cachorro","Outros"
"Presente de aniversário para a mamãe","Outros"
"Manutenção do computador","Outros"
"Corte de cabelo barbeiro","Outros"
"Roupas na C&A","Outros"
"Celular novo Samsung","Outros"
"Seguro do carro","Outros"
